subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_tWE7meCPnKMvc2d,2,4,2,3,2,1,32,2,,2
R_1dyO0OE8O1LEHR3,2,3,2,3,2,1,28,4,,2
R_6hc3IzyoTVWjhid,2,4,2,4,4,2,41,1,,1
R_3JlQUeYe0OXrJav,2,6,2,3,1,1,39,4,,3
R_b2QhXZUTL1ebaXD,2,3,2,3,3,2,29,1,,2
R_3pmXXUPbLnAvfFu,2,7,1,5,4,1,42,1,,3
R_b8zCbhHJ1x5499v,2,6,1,5,1,1,36,1,,2
R_2du32FmRVTTYbvc,2,2,2,2,1,1,34,1,,4
R_80SjLKrKOOceKkx,2,7,1,3,1,1,25,1,,6
R_3iWRx1a57aBxAsu,2,6,2,2,1,2,26,1,,1
R_smOLz6IIXC5yFup,2,6,3,2,1,2,23,1,,5
R_1Q0L5CIMnFYedys,2,6,1,2,2,2,23,3,,1
R_3L1N91QVHAAUsxF,2,6,2,3,3,1,36,1,,3
R_1PaSTDwzr4cyMPj,2,2,3,5,5,2,28,1,,4
R_2YQfdH7L90lHg28,2,5,1,2,1,1,24,1,,2
R_1CIbnzyo2NtQFuB,2,7,1,3,1,1,28,1,,1
R_3ixvt60DBdaYGj0,2,6,1,3,2,1,24,4,,1
R_3QViE0FQZltPRbm,2,6,3,5,5,1,27,1,,6
R_1ptxl9Hx9A06ncw,2,2,3,4,2,1,29,2,,5
R_pFc4Nt4fiTnLwrv,2,1,7,3,5,2,,1,,1
R_1eJmM2v0i09ZFHS,2,7,1,3,1,1,27,4,,4
R_1OHp7kuOsRPGaHe,2,4,4,2,1,1,26,1,,5
R_ANh2pXqngz17CQp,2,4,4,3,1,2,26,4,,2
R_W9DFls72JrBuNKp,2,6,5,4,1,1,29,1,,3
R_1QMD8DArI9iIdsT,2,6,2,2,4,2,42,1,,3
R_0SThoa9kzCaTFw9,2,7,1,3,1,1,36,4,,1
R_1FyAT3sHhq2jnmv,2,6,1,5,4,1,24,1,,5
R_2E7egUnaJZIJkRJ,2,6,2,3,1,1,19,1,,2
R_3RwQeIQ0okcJLQD,2,2,1,5,1,2,23,4,,2
R_VPhL7JBhbWvaT3b,2,4,4,2,2,1,28,3,,2
R_1ocXQKmDfD5yoXh,2,7,1,3,1,2,26,1,,4
R_1Q9sVgejEKpR2rW,2,4,5,5,6,1,29,4,,3
R_wTTIDxNog6FliIF,2,5,5,5,4,1,22,4,,5
R_3I06CDQ5R0NRphJ,2,6,2,4,1,1,31,1,,2
R_2zD7AVCKmaLSLYj,2,6,1,1,1,2,22,1,,1
R_1IAysodCeJhg4ZC,2,2,6,2,3,2,20,4,,1
R_2f41EHonpLLHGDb,2,5,2,4,5,1,47,1,,3
R_paxMGJcUIoaPCeZ,2,4,3,2,1,1,36,4,,6
R_3s17fhvO4hNx7xU,2,5,3,5,2,1,58,1,,4
R_9Evb7MRBEiUBOoh,2,5,3,4,1,1,44,1,,1
R_3mn9vdHGnpuXCHJ,2,6,3,2,5,1,20,1,,4
