subj,condition,mediator,dv,moraljudg,politics,religion,gender,age,race,race_TEXT,income
R_03qExEMNZL5R8b3,2,4,1,1,3,1,2,51,1,,3
R_2AQIOoNiAxA3YpA,2,6,1,1,2,1,2,26,1,,3
R_3RrVNyBPCp9knce,2,2,2,3,3,1,1,25,4,,2
R_3n2fYBCV2tOhrvz,2,4,3,3,3,2,1,25,1,,2
R_xxTsqUxV5KRwOd3,2,6,2,4,4,2,1,27,1,,4
R_1HXLFzQyICayAbT,2,2,3,4,3,2,1,35,1,,6
R_vITpOFrCfIW68H7,2,5,1,1,1,1,2,29,1,,1
R_scZX0BOb3xnqJs5,2,5,3,5,3,3,1,27,1,,1
R_3JlbJvtXlBw2MhY,2,1,1,4,5,5,1,59,1,,2
R_2D1bZLCvaRdHUJo,2,1,6,7,3,4,2,63,1,,4
R_6gR78xZ6Qcq3pZf,2,5,3,3,3,4,2,41,1,,1
R_22y7rCtp4XbYsUp,2,3,1,2,1,1,2,26,3,,2
R_23dztEh3cc1XsbX,2,2,6,5,5,5,1,33,1,,3
R_2qeDr1qIAEiSnyh,2,2,4,2,3,1,1,23,1,,1
R_1LcH5x9xPceypnM,2,5,2,3,3,1,2,35,2,,3
R_2QgpwpddSVVjpji,2,4,1,1,1,2,2,25,1,,1
R_27figxSlf45Yjvj,2,6,1,2,1,2,1,33,3,,2
R_3maxsaYYiWvlBcu,2,1,1,2,2,1,1,31,1,,2
R_2V9dI1QG1TvGE5P,2,3,5,4,3,1,1,22,1,,1
R_u8GkZJd9MaUZk8F,2,3,4,4,4,2,2,53,1,,1
R_2aSR0zYPCZQd3Jn,2,1,7,7,3,1,2,33,1,,1
R_3CTqFoEyQ8ueFro,2,1,1,4,3,1,1,34,4,,4
R_9shbuRg3AYhMOkB,2,1,7,7,4,2,1,35,1,,2
R_3rM9AOjjrssgqXS,2,2,1,1,3,2,1,19,3,,3
R_1g872oB6KEPb2BT,2,6,1,2,3,5,1,25,1,,1
R_eqEaviRRU1VktTH,2,4,1,1,1,1,1,23,1,,2
R_3dGhL3Lxh14kUkG,2,5,4,3,3,2,1,27,1,,3
R_2cA7xgrHvX7UY10,2,4,2,2,2,1,1,25,1,,2
R_2YxHCuU7iexTMMx,2,1,2,3,2,3,2,33,4,,1
R_2WI54eilG9Vl73V,2,2,2,4,3,1,1,22,4,,1
R_a03G6NjxsGommR3,2,6,1,2,4,1,1,32,1,,5
R_22r9sQbdc7sUrqc,2,7,5,4,4,5,2,23,1,,4
R_3L83BogxFezJCXJ,2,7,1,1,3,1,1,39,1,,2
R_3D7vYmDqieCc5zT,2,1,5,5,2,1,1,24,4,,2
R_ODRH2DLnoGT40rD,2,5,4,2,6,4,1,22,1,,4
R_27wkc1LLNwd0v1G,2,2,1,1,1,1,1,20,1,,1
R_1PRIbr28jcGJreI,2,5,3,3,2,6,2,53,1,,2
R_1Fhsf8hfQOs9AI0,2,3,1,2,3,1,1,20,4,,1
R_2TXYveehvjbrG6s,2,4,4,5,4,3,1,20,4,,1
R_0eMBDCYOtKnolMt,2,3,3,4,3,2,1,31,1,,3
R_2RaLpcXP9AKYdVW,2,1,3,2,2,5,2,43,1,,3
R_UVMypcskyDDAZm9,2,3,3,4,3,2,1,26,1,,2
R_1ovDWkSK4HnQd7m,2,2,4,1,3,1,2,40,3,,2
R_2VDOumJiATjOwea,2,7,7,7,4,6,1,30,1,,2
R_22zfripbl6ZaV1s,2,4,4,5,1,4,1,30,2,,2
R_2us1tapikVEpRDP,2,6,2,1,2,1,1,30,1,,2
R_1hECfijoKjUQNEp,2,2,2,4,1,2,2,52,1,,1
R_5nbFo4lpAAeNrPT,2,6,7,1,2,1,1,26,1,,3
R_2bK1JiNi1b6ibTt,2,4,5,3,3,1,1,24,4,,4
R_XFDtVsHVkPlersd,2,3,3,3,4,4,1,29,1,,3
R_1hAsMuRx2JWxvDa,2,5,2,4,5,5,2,22,2,,1
R_u4lxhkwgbQ2D3cB,2,3,6,6,3,1,1,22,1,,1
R_5coZQVcH101oAeZ,2,4,7,6,4,5,1,49,1,,4
R_4I8XP9zecgPQyBP,2,3,2,1,2,1,1,26,1,,5
R_3plnI78rPN7Niyy,2,6,2,1,2,1,1,25,,,1
